date,wti,senti
2016/09/16,-0.592131749898631,0.0659939634852431
2016/09/23,-0.580640345379184,0.0888959918806723
2016/09/30,-0.569174205546636,0.111572586170884
2016/10/07,-0.557751647202176,0.133982355095795
2016/10/14,-0.546390191549381,0.156090816704691
2016/10/21,-0.535105257261053,0.177869346423552
2016/10/28,-0.523909786466856,0.199292842729588
2016/11/04,-0.512814241500119,0.220339705871944
2016/11/11,-0.501827193106468,0.24098899914124
2016/11/18,-0.49095746353527,0.261211630922634
2016/11/25,-0.480214497355762,0.280976721924651
2016/12/02,-0.469608339945496,0.300253266791295
2016/12/09,-0.459148380513954,0.319013693446983
2016/12/16,-0.448842896988691,0.337235289325219
2016/12/23,-0.438698097949637,0.354895093534993
2016/12/30,-0.428717720395826,0.371977979746038
2017/01/06,-0.418902791874172,0.388479823655192
2017/01/13,-0.409251055117572,0.40439029997216
2017/01/20,-0.399757304725802,0.419708096960344
2017/01/27,-0.390414093936763,0.434427813528955
2017/02/03,-0.381211928318459,0.448548003019297
2017/02/10,-0.372138690508977,0.462071265847663
2017/02/17,-0.363179605837808,0.475009803665319
2017/02/24,-0.354317543174371,0.4873778563751
2017/03/03,-0.345532923473135,0.499193332291318
2017/03/10,-0.336803376658194,0.510481176334038
2017/03/17,-0.328104035226557,0.521272441824019
2017/03/24,-0.319408951511817,0.531604836168463
2017/03/31,-0.310692359149388,0.541514287797504
2017/04/07,-0.301929066353685,0.5510369324333
2017/04/14,-0.293093790513005,0.56021385507045
2017/04/21,-0.284160242232832,0.569079388578334
2017/04/28,-0.275100230007564,0.577665980690669
2017/05/05,-0.265884788000448,0.586007667713971
2017/05/12,-0.256485119124503,0.594143057369678
2017/05/19,-0.246873735034121,0.602103578628758
2017/05/26,-0.237024603926876,0.60992376573774
2017/06/02,-0.226912125711304,0.617636183646027
2017/06/09,-0.216510605814711,0.625277557698512
2017/06/16,-0.205795311768016,0.632889015848838
2017/06/23,-0.194743527002557,0.640506040365627
2017/06/30,-0.183335270846084,0.648158706091266
2017/07/07,-0.171554462720127,0.655864911393428
2017/07/14,-0.159388242376177,0.663643381608442
2017/07/21,-0.146826649301437,0.671510348215417
2017/07/28,-0.133862706557609,0.679477070485938
2017/08/04,-0.12049206104694,0.687551712418326
2017/08/11,-0.106712115022772,0.695747147659663
2017/08/18,-0.0925215471424963,0.704069738998979
2017/08/25,-0.0779206195238178,0.712520979141985
2017/09/01,-0.0629120951760621,0.721092048846786
2017/09/08,-0.0475012302241432,0.729769358910836
2017/09/15,-0.0316964116117746,0.738537334511649
2017/09/22,-0.015508322547215,0.747376290203446
2017/09/29,0.00105017642144364,0.756257368910413
2017/10/06,0.0179644845407446,0.76516338616679
2017/10/13,0.0352189811680872,0.774088034127187
2017/10/20,0.0527960521959482,0.783027526211002
2017/10/27,0.0706763884838468,0.791979434433847
2017/11/03,0.0888391714000663,0.800935733994486
2017/11/10,0.107262391515735,0.809885518967967
2017/11/17,0.125923702071073,0.818823311899108
2017/11/24,0.144801546435188,0.827743821884034
2017/12/01,0.163874396871158,0.836635714364283
2017/12/08,0.183121150843387,0.845490242211728
2017/12/15,0.20252141040081,0.854295685093899
2017/12/22,0.222054927190669,0.863036356263936
2017/12/29,0.24170154811168,0.871699212425475
2018/01/05,0.261441415869136,0.880277783363409
2018/01/12,0.281255851137667,0.888767334048901
2018/01/19,0.30112780243605,0.897169479169302
2018/01/26,0.32104274706802,0.905493119235602
2018/02/02,0.340988833865395,0.91374378485499
2018/02/09,0.360957321675474,0.921926333428533
2018/02/16,0.3809425107661,0.9300496893264
2018/02/23,0.400939947783935,0.938122449523588
2018/03/02,0.420945508775554,0.946152228597228
2018/03/09,0.440956198351489,0.954157922624674
2018/03/16,0.460969915030516,0.962151067005649
2018/03/23,0.480985065997237,0.970137967694251
