date,wti
2016/9/20,43.44
2016/9/21,45.34
2016/9/22,46.32
2016/9/23,44.48
2016/9/26,45.93
2016/9/27,44.67
2016/9/28,47.05
2016/9/29,47.83
2016/9/30,48.24
2016/10/3,48.81
2016/10/4,48.69
2016/10/5,49.83
2016/10/6,50.44
2016/10/7,49.81
2016/10/11,50.79
2016/10/12,50.18
2016/10/13,50.44
2016/10/14,50.35
2016/10/17,49.94
2016/10/18,50.29
2016/10/19,51.6
2016/10/20,50.43
2016/10/21,50.85
2016/10/24,50.52
2016/10/25,49.96
2016/10/26,49.18
2016/10/27,49.72
2016/10/28,48.7
2016/10/31,46.86
2016/11/1,46.67
2016/11/2,45.34
2016/11/3,44.66
2016/11/4,44.07
2016/11/7,44.89
2016/11/8,44.98
2016/11/9,45.27
2016/11/10,44.66
2016/11/14,43.32
2016/11/15,45.81
2016/11/16,45.57
2016/11/17,45.42
2016/11/18,45.69
2016/11/21,47.49
2016/11/22,48.03
2016/11/23,47.96
2016/11/28,47.08
2016/11/29,45.23
2016/11/30,49.44
2016/12/1,51.06
2016/12/2,51.68
2016/12/5,51.79
2016/12/6,50.93
2016/12/7,49.77
2016/12/8,50.84
2016/12/9,51.5
2016/12/12,52.83
2016/12/13,52.98
2016/12/14,51.04
2016/12/15,50.9
2016/12/16,51.9
2016/12/19,52.12
2016/12/20,52.23
2016/12/21,52.49
2016/12/22,52.95
2016/12/23,53.02
2016/12/27,53.9
2016/12/28,54.06
2016/12/29,53.77
2016/12/30,53.72
2017/1/3,52.33
2017/1/4,53.26
2017/1/5,53.76
2017/1/6,53.99
2017/1/9,51.96
2017/1/10,50.82
2017/1/11,52.25
2017/1/12,53.01
2017/1/13,52.37
2017/1/17,52.48
2017/1/18,51.08
2017/1/19,51.37
2017/1/20,52.42
2017/1/23,52.75
2017/1/24,53.18
2017/1/25,52.75
2017/1/26,53.78
2017/1/27,53.17
2017/1/30,52.63
2017/1/31,52.81
2017/2/1,53.88
2017/2/2,53.54
2017/2/3,53.83
2017/2/6,53.01
2017/2/7,52.17
2017/2/8,52.34
2017/2/9,53
2017/2/10,53.86
2017/2/13,52.93
2017/2/14,53.2
2017/2/15,53.11
2017/2/16,53.36
2017/2/17,53.4
2017/2/21,54.06
2017/2/22,53.59
2017/2/23,54.45
2017/2/24,53.99
2017/2/27,54.05
2017/2/28,54.01
2017/3/1,53.83
2017/3/2,52.61
2017/3/3,53.33
2017/3/6,53.2
2017/3/7,53.14
2017/3/8,50.28
2017/3/9,49.28
2017/3/10,48.49
2017/3/13,48.4
2017/3/14,47.72
2017/3/15,48.86
2017/3/16,48.75
2017/3/17,48.78
2017/3/20,48.22
2017/3/21,47.34
2017/3/22,48.04
2017/3/23,47.7
2017/3/24,47.97
2017/3/27,47.73
2017/3/28,48.37
2017/3/29,49.51
2017/3/30,50.35
2017/3/31,50.6
2017/4/3,50.24
2017/4/4,51.03
2017/4/5,51.15
2017/4/6,51.7
2017/4/7,52.24
2017/4/10,53.08
2017/4/11,53.4
2017/4/12,53.11
2017/4/13,53.18
2017/4/17,52.65
2017/4/18,52.41
2017/4/19,50.44
2017/4/20,50.27
2017/4/21,49.62
2017/4/24,49.23
2017/4/25,49.56
2017/4/26,49.62
2017/4/27,48.97
2017/4/28,49.33
2017/5/1,48.84
2017/5/2,47.66
2017/5/3,47.82
2017/5/4,45.52
2017/5/5,46.22
2017/5/8,46.43
2017/5/9,45.88
2017/5/10,47.33
2017/5/11,47.83
2017/5/12,47.84
2017/5/15,48.85
2017/5/16,48.66
2017/5/17,49.07
2017/5/18,49.35
2017/5/19,50.33
2017/5/22,50.73
2017/5/23,51.47
2017/5/24,51.36
2017/5/25,48.9
2017/5/26,49.8
2017/5/30,49.66
2017/5/31,48.32
2017/6/1,48.36
2017/6/2,47.66
2017/6/5,47.4
2017/6/6,48.19
2017/6/7,45.72
2017/6/8,45.64
2017/6/9,45.83
2017/6/12,46.08
2017/6/13,46.46
2017/6/14,44.73
2017/6/15,44.46
2017/6/16,44.74
2017/6/19,44.2
2017/6/20,43.23
2017/6/21,42.53
2017/6/22,42.74
2017/6/23,43.01
2017/6/26,43.38
2017/6/27,44.24
2017/6/28,44.74
2017/6/29,44.93
2017/6/30,46.04
2017/7/3,47.07
2017/7/5,45.13
2017/7/6,45.52
2017/7/7,44.23
2017/7/10,44.4
2017/7/11,45.04
2017/7/12,45.49
2017/7/13,46.08
2017/7/14,46.54
2017/7/17,46.02
2017/7/18,46.4
2017/7/19,47.12
2017/7/20,46.79
2017/7/21,45.77
2017/7/24,46.34
2017/7/25,47.89
2017/7/26,48.75
2017/7/27,49.04
2017/7/28,49.71
2017/7/31,50.17
2017/8/1,49.16
2017/8/2,49.59
2017/8/3,49.03
2017/8/4,49.58
2017/8/7,49.39
2017/8/8,49.17
2017/8/9,49.56
2017/8/10,48.59
2017/8/11,48.82
2017/8/14,47.59
2017/8/15,47.55
2017/8/16,46.78
2017/8/17,47.09
2017/8/18,48.51
2017/8/21,47.37
2017/8/22,47.64
2017/8/23,48.41
2017/8/24,47.43
2017/8/25,47.87
2017/8/28,46.57
2017/8/29,46.44
2017/8/30,45.96
2017/8/31,47.23
2017/9/1,47.29
2017/9/5,48.66
2017/9/6,49.16
2017/9/7,49.09
2017/9/8,47.48
2017/9/11,48.07
2017/9/12,48.23
2017/9/13,49.3
2017/9/14,49.89
2017/9/15,49.89
2017/9/18,49.91
2017/9/19,49.48
2017/9/20,50.41
2017/9/21,50.55
2017/9/22,50.66
2017/9/25,52.22
2017/9/26,51.88
2017/9/27,52.14
2017/9/28,51.56
2017/9/29,51.67
2017/10/2,50.58
2017/10/3,50.42
2017/10/4,49.98
2017/10/5,50.79
2017/10/6,49.29
2017/10/10,50.92
2017/10/11,51.3
2017/10/12,50.6
2017/10/13,51.45
2017/10/16,51.87
2017/10/17,51.88
2017/10/18,52.04
2017/10/19,51.29
2017/10/20,51.47
2017/10/23,51.9
2017/10/24,52.47
2017/10/25,52.18
2017/10/26,52.64
2017/10/27,53.9
2017/10/30,54.15
2017/10/31,54.38
2017/11/1,54.3
2017/11/2,54.54
2017/11/3,55.64
2017/11/6,57.35
2017/11/7,57.2
2017/11/8,56.81
2017/11/9,57.17
2017/11/13,56.76
2017/11/14,55.7
2017/11/15,55.33
2017/11/16,55.14
2017/11/17,56.55
2017/11/20,56.09
2017/11/21,56.83
2017/11/22,58.02
2017/11/27,58.11
2017/11/28,57.99
2017/11/29,57.3
2017/11/30,57.4
2017/12/1,58.36
2017/12/4,57.47
2017/12/5,57.62
2017/12/6,55.96
2017/12/7,56.69
2017/12/8,57.36
2017/12/11,57.99
2017/12/12,57.14
2017/12/13,56.6
2017/12/14,57.04
2017/12/15,57.3
2017/12/18,57.16
2017/12/19,57.46
2017/12/20,58.09
2017/12/21,58.36
2017/12/22,58.47
2017/12/26,59.97
2017/12/27,59.64
2017/12/28,59.84
2017/12/29,60.42
2018/1/1,60.42
2018/1/2,60.37
2018/1/3,61.63
2018/1/4,62.01
2018/1/5,61.44
2018/1/8,61.73
2018/1/9,62.96
2018/1/10,63.57
2018/1/11,63.8
2018/1/12,64.3
2018/1/15,64.3
2018/1/16,63.73
2018/1/17,63.97
2018/1/18,63.95
2018/1/19,63.37
2018/1/22,63.49
2018/1/23,64.47
2018/1/24,65.61
2018/1/25,65.51
2018/1/26,66.14
2018/1/29,65.56
2018/1/30,64.5
2018/1/31,64.73
2018/2/1,65.8
2018/2/2,65.45
2018/2/5,64.15
2018/2/6,63.39
2018/2/7,61.79
2018/2/8,61.15
2018/2/9,59.2
2018/2/12,59.29
2018/2/13,59.19
2018/2/14,60.6
2018/2/15,61.34
2018/2/16,61.68
2018/2/19,61.68
2018/2/20,61.9
2018/2/21,61.68
2018/2/22,62.77
2018/2/23,63.55
2018/2/26,63.91
2018/2/27,63.01
2018/2/28,61.64
2018/3/1,60.99
2018/3/2,61.25
2018/3/5,62.57
2018/3/6,62.6
2018/3/7,61.15
2018/3/8,60.12
2018/3/9,62.04
2018/3/12,61.36
2018/3/13,60.71
2018/3/14,60.96
2018/3/15,61.19
2018/3/16,62.34
2018/3/19,62.06
2018/3/20,63.4
2018/3/21,65.17
2018/3/22,64.3
2018/3/23,65.88
2018/3/26,65.55
2018/3/27,65.25
