x0,x1,x2,x3,x4,x5,y
57.68,57.51,58.03,59.72,0.2215568862275449,0.1388888888888889,0
60.3,57.68,57.51,58.03,0.19083969465648856,0.2215568862275449,1
60.2,60.3,57.68,57.51,0.30935251798561153,0.19083969465648856,0
61.26,60.2,60.3,57.68,0.1552346570397112,0.30935251798561153,0
59.64,61.26,60.2,60.3,0.16091954022988506,0.1552346570397112,1
58.0,59.64,61.26,60.2,0.0967741935483871,0.16091954022988506,0
59.13,58.0,59.64,61.26,0.2621359223300971,0.0967741935483871,1
58.14,59.13,58.0,59.64,0.2897196261682243,0.2621359223300971,1
60.14,58.14,59.13,58.0,0.37037037037037035,0.2897196261682243,0
61.43,60.14,58.14,59.13,0.4426229508196721,0.37037037037037035,0
60.77,61.43,60.14,58.14,0.17293233082706766,0.4426229508196721,0
59.96,60.77,61.43,60.14,0.10975609756097561,0.17293233082706766,1
59.52,59.96,60.77,61.43,0.039603960396039604,0.10975609756097561,0
59.97,59.52,59.96,60.77,0.008264462809917356,0.039603960396039604,1
59.92,59.97,59.52,59.96,0.24242424242424243,0.008264462809917356,0
60.45,59.92,59.97,59.52,0.2,0.24242424242424243,1
59.61,60.45,59.92,59.97,-0.03296703296703297,0.2,1
59.68,59.61,60.45,59.92,0.037037037037037035,-0.03296703296703297,0
61.01,59.68,59.61,60.45,-0.07692307692307693,0.037037037037037035,0
60.27,61.01,59.68,59.61,-0.05084745762711865,-0.07692307692307693,0
59.7,60.27,61.01,59.68,-0.037037037037037035,-0.05084745762711865,0
59.63,59.7,60.27,61.01,0.26717557251908397,-0.037037037037037035,1
58.33,59.63,59.7,60.27,0.2602739726027397,0.26717557251908397,0
59.47,58.33,59.63,59.7,0.25663716814159293,0.2602739726027397,0
56.96,59.47,58.33,59.63,0.07017543859649122,0.25663716814159293,0
56.93,56.96,59.47,58.33,-0.21739130434782608,0.07017543859649122,0
52.53,56.93,56.96,59.47,0.14285714285714285,-0.21739130434782608,0
52.33,52.53,56.93,56.96,0.09090909090909091,0.14285714285714285,1
51.65,52.33,52.53,56.93,0.06040268456375839,0.09090909090909091,0
52.78,51.65,52.33,52.53,0.0975609756097561,0.06040268456375839,0
52.74,52.78,51.65,52.33,0.2857142857142857,0.0975609756097561,1
52.2,52.74,52.78,51.65,0.08333333333333333,0.2857142857142857,0
53.04,52.2,52.74,52.78,0.1524163568773234,0.08333333333333333,0
51.41,53.04,52.2,52.74,0.2909090909090909,0.1524163568773234,0
50.91,51.41,53.04,52.2,0.21367521367521367,0.2909090909090909,0
50.89,50.91,51.41,53.04,0.2571428571428571,0.21367521367521367,1
50.15,50.89,50.91,51.41,-0.06451612903225806,0.2571428571428571,0
50.36,50.15,50.89,50.91,0.02857142857142857,-0.06451612903225806,0
49.19,50.36,50.15,50.89,-0.11926605504587157,0.02857142857142857,0
48.45,49.19,50.36,50.15,0.17557251908396945,-0.11926605504587157,0
48.14,48.45,49.19,50.36,0.04918032786885246,0.17557251908396945,1
47.39,48.14,48.45,49.19,0.189873417721519,0.04918032786885246,1
47.98,47.39,48.14,48.45,0.16666666666666666,0.189873417721519,0
48.79,47.98,47.39,48.14,0.20207253886010362,0.16666666666666666,0
48.52,48.79,47.98,47.39,0.16981132075471697,0.20207253886010362,0
47.12,48.52,48.79,47.98,0.02608695652173913,0.16981132075471697,1
45.17,47.12,48.52,48.79,0.10588235294117647,0.02608695652173913,0
45.74,45.17,47.12,48.52,-0.034482758620689655,0.10588235294117647,0
45.15,45.74,45.17,47.12,0.022556390977443608,-0.034482758620689655,0
44.66,45.15,45.74,45.17,0.17543859649122806,0.022556390977443608,1
43.87,44.66,45.15,45.74,0.08571428571428572,0.17543859649122806,0
44.96,43.87,44.66,45.15,0.03529411764705882,0.08571428571428572,1
43.08,44.96,43.87,44.66,0.21311475409836064,0.03529411764705882,0
43.3,43.08,44.96,43.87,0.19402985074626866,0.21311475409836064,1
42.23,43.3,43.08,44.96,0.04878048780487805,0.19402985074626866,0
42.5,42.23,43.3,43.08,0.012048192771084338,0.04878048780487805,1
41.87,42.5,42.23,43.3,-0.14705882352941177,0.012048192771084338,0
42.62,41.87,42.5,42.23,0.06040268456375839,-0.14705882352941177,1
40.8,42.62,41.87,42.5,-0.23076923076923078,0.06040268456375839,0
41.14,40.8,42.62,41.87,0.0684931506849315,-0.23076923076923078,0
40.45,41.14,40.8,42.62,-0.08641975308641975,0.0684931506849315,1
38.24,40.45,41.14,40.8,0.23529411764705882,-0.08641975308641975,0
39.31,38.24,40.45,41.14,0.017543859649122806,0.23529411764705882,1
38.6,39.31,38.24,40.45,0.05555555555555555,0.017543859649122806,1
42.56,38.6,39.31,38.24,0.11940298507462686,0.05555555555555555,1
45.22,42.56,38.6,39.31,0.1,0.11940298507462686,0
49.2,45.22,42.56,38.6,0.06569343065693431,0.1,1
45.41,49.2,45.22,42.56,0.25,0.06569343065693431,1
46.25,45.41,49.2,45.22,0.07964601769911504,0.25,0
46.75,46.25,45.41,49.2,-0.07407407407407407,0.07964601769911504,0
46.05,46.75,46.25,45.41,0.0,-0.07407407407407407,0
45.94,46.05,46.75,46.25,0.32857142857142857,0.0,1
44.15,45.94,46.05,46.75,0.12195121951219512,0.32857142857142857,0
45.92,44.15,45.94,46.05,0.14666666666666667,0.12195121951219512,0
44.63,45.92,44.15,45.94,0.10948905109489052,0.14666666666666667,1
44.0,44.63,45.92,44.15,0.17197452229299362,0.10948905109489052,1
44.59,44.0,44.63,45.92,0.11363636363636363,0.17197452229299362,0
47.15,44.59,44.0,44.63,0.14563106796116504,0.11363636363636363,0
46.9,47.15,44.59,44.0,0.16279069767441862,0.14563106796116504,1
44.68,46.9,47.15,44.59,-0.13043478260869565,0.16279069767441862,0
46.68,44.68,46.9,47.15,0.21052631578947367,-0.13043478260869565,0
45.83,46.68,44.68,46.9,-0.07865168539325842,0.21052631578947367,1
44.48,45.83,46.68,44.68,-0.04895104895104895,-0.07865168539325842,1
44.91,44.48,45.83,46.68,0.3090909090909091,-0.04895104895104895,0
